Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,DataQualityFlags
20260102 11:27:30 America/New_York,444.16,444.3,443.89,444.26,1538.0,444.10466710013,560,457.8,none
20260102 11:28:00 America/New_York,444.72,444.8,444.21,444.78,2571.0,444.52189614935827,803,457.8,none
20260102 11:28:30 America/New_York,444.76,444.79,444.53,444.72,1873.0,444.6843080619328,553,457.8,none
20260102 11:29:00 America/New_York,444.62,444.82,444.48,444.54,1594.0,444.6912007528231,592,457.8,none
20260102 11:29:30 America/New_York,444.17,444.54,444.06,444.08,1737.0,444.2724185377087,594,457.8,none
20260102 11:30:00 America/New_York,444.05,444.1,443.8,443.97,2130.0,443.93963990610325,772,457.8,none
20260102 11:30:30 America/New_York,443.97,444.28,443.84,443.94,1769.0,444.07475918598084,614,457.8,none
20260102 11:31:00 America/New_York,443.89,444.12,443.81,443.85,1469.0,443.92270932607215,491,457.8,none
20260102 11:31:30 America/New_York,443.67,443.88,443.6,443.63,1443.0,443.7280291060291,504,457.8,none
20260102 11:32:00 America/New_York,443.62,443.72,443.42,443.54,1590.0,443.5789213836478,579,457.8,none
20260102 11:32:30 America/New_York,443.58,443.72,443.43,443.55,1054.0,443.57416034155597,384,457.8,none
20260102 11:33:00 America/New_York,443.89,444.08,443.35,444.08,1839.0,443.753613920609,628,457.8,none
20260102 11:33:30 America/New_York,444.21,444.37,443.85,444.37,1865.0,444.1103828418231,723,457.8,none
20260102 11:34:00 America/New_York,444.96,445.0,444.29,444.84,3775.0,444.7437549668875,1190,457.8,none
20260102 11:34:30 America/New_York,445.13,445.16,444.73,445.14,2173.0,444.96781960423374,828,457.8,none
20260102 11:35:00 America/New_York,444.6,445.34,444.4,444.58,2673.0,444.85198353909465,881,457.8,none
20260102 11:35:30 America/New_York,444.67,444.72,444.36,444.56,1233.0,444.5275815085158,474,457.8,none
20260102 11:36:00 America/New_York,444.81,445.03,444.47,444.92,1741.0,444.76228489373926,582,457.8,none
20260102 11:36:30 America/New_York,445.05,445.13,444.89,445.1,1881.0,445.02786230728327,600,457.8,none
20260102 11:37:00 America/New_York,444.96,445.13,444.82,444.95,1151.0,444.9438853171156,418,457.8,none
20260102 11:37:30 America/New_York,444.54,445.1,444.44,444.61,1961.0,444.75906578276397,636,457.8,none
20260102 11:38:00 America/New_York,444.44,444.63,444.09,444.35,2289.0,444.38010048055924,743,457.8,none
20260102 11:38:30 America/New_York,444.54,444.57,444.23,444.52,912.0,444.4188837719298,329,457.8,none
